date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-13,California,State,Alpha,9.0,1.55,7.0,1.725352112676
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Omicron,2.0,0.35,1.14285714285,0.281690140845
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Other,228.0,39.38,175.57142857142,43.274647887324
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Total,579.0,100.0,405.71428571428,100.0
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.217661691542
2021-01-14,California,State,Epsilon,425.0,63.06,259.28571428571,56.436567164179
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.492537313433
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031094527363
2021-01-14,California,State,Other,235.0,34.87,191.0,41.573383084577
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.186567164179
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Total,674.0,100.0,459.42857142857,100.0
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031094527363
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031094527363
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.164971130052
2021-01-15,California,State,Epsilon,320.0,56.34,293.85714285714,56.557602419577
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.48474017047
2021-01-15,California,State,Other,238.0,41.9,215.71428571428,41.517734396481
2021-01-15,California,State,Total,568.0,100.0,519.57142857142,100.0
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.192466318394
2021-01-16,California,State,Other,329.0,44.82,231.28571428571,42.194422726088
2021-01-16,California,State,Total,734.0,100.0,548.14285714285,100.0
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.130310138129
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.156372165754
2021-01-16,California,State,Epsilon,388.0,52.86,305.57142857142,55.746677091478
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026062027626
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.694031795674
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026062027626
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026062027626
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025056376848
2021-01-17,California,State,Epsilon,182.0,57.96,318.71428571428,55.900776747682
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.703833625658
2021-01-17,California,State,Other,128.0,40.76,239.71428571428,42.044600350789
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.150338261087
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050112753696
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Total,314.0,100.0,570.14285714285,100.0
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025056376848
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.100225507392
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Total,747.0,100.0,596.0,100.0
2021-01-18,California,State,Alpha,13.0,1.74,10.42857142857,1.749760306807
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.047938638543
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.119846596357
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.047938638543
2021-01-18,California,State,Epsilon,430.0,57.56,341.14285714285,57.238734419942
2021-01-18,California,State,Other,303.0,40.56,243.14285714285,40.795781399808
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020712510356
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Epsilon,675.0,55.69,394.14285714285,57.145816072908
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.062137531069
2021-01-19,California,State,Total,1212.0,100.0,689.71428571428,100.0
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.719138359569
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.103562551781
2021-01-19,California,State,Other,516.0,42.57,282.42857142857,40.948632974316
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.088888888889
2021-01-20,California,State,Alpha,15.0,5.98,12.71428571428,1.977777777778
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.044444444444
2021-01-20,California,State,Other,78.0,31.08,261.0,40.6
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Total,251.0,100.0,642.85714285714,100.0
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022222222222
2021-01-20,California,State,Epsilon,157.0,62.55,368.14285714285,57.266666666667
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Other,17.0,19.32,229.85714285714,41.108840061318
